Complaint_Type,District,Created_Date,Descriptor
Illegal Parking,QUEENS,2013-10-31 02:01:04,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 23:20:57,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-30 23:20:26,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 23:01:49,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 22:33:28,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 22:31:22,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:46:18,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:27:13,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 21:22:34,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:10:54,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-30 21:09:34,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 20:43:31,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-30 20:38:18,Overnight Commercial Storage
Illegal Parking,QUEENS,2013-10-30 20:01:25,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 19:38:55,Detached Trailer
Illegal Parking,QUEENS,2013-10-30 19:34:15,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 19:24:29,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-30 19:12:19,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-30 18:12:44,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 16:49:04,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 16:06:48,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 15:54:29,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-30 15:48:04,Double Parked Blocking Traffic
Illegal Parking,QUEENS,2013-10-30 15:47:29,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-30 15:28:54,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 13:53:42,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 13:37:46,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-30 13:14:41,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 11:10:47,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 10:01:12,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 09:45:51,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 09:45:01,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-30 09:42:55,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 09:25:59,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 09:18:06,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 09:16:03,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-30 09:02:47,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 08:28:16,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 08:26:29,Double Parked Blocking Vehicle
Illegal Parking,QUEENS,2013-10-30 01:17:31,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 00:34:03,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-30 00:02:41,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 23:03:20,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-29 23:01:37,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-29 23:01:12,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-29 22:23:03,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 22:11:15,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 21:52:08,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-29 21:31:09,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 21:20:43,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 21:18:47,Blocked Hydrant
Illegal Parking,QUEENS,2013-10-29 21:10:22,Posted Parking Sign Violation
Illegal Parking,QUEENS,2013-10-29 21:05:47,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 21:05:21,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 20:58:41,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 20:15:13,Commercial Overnight Parking
Illegal Parking,QUEENS,2013-10-29 20:05:44,Blocked Sidewalk
Illegal Parking,QUEENS,2013-10-29 18:50:47,Commercial Overnight Parking
